"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","AWND","AWND_ATTRIBUTES","FMTM","FMTM_ATTRIBUTES","PGTM","PGTM_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TSUN","TSUN_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT02","WT02_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT08","WT08_ATTRIBUTES","WT09","WT09_ATTRIBUTES"
"USW00003887","2000-12-14","39.83079","-88.87192","205.1","DECATUR AIRPORT, IL US","    0",",,W",,,,,"  -56",",,W"," -183",",,W","   25",",,W"," 0720",",,W"," 0716",",,W"," -117",",,W",,,"  310",",,W","  310",",,W","   58",",,W","   72",",,W",,,,,,,,,,,,
"USW00003887","2000-12-15","39.83079","-88.87192","205.1","DECATUR AIRPORT, IL US","    0","T,,W",,,,,"    6",",,W"," -167",",,W","   53",",,W"," 2303",",,W"," 2305",",,W","  -78",",,W",,,"  140",",,W","  140",",,W","   89",",,W","  107",",,W",,,,,,,,,,,,
"USW00003887","2000-12-16","39.83079","-88.87192","205.1","DECATUR AIRPORT, IL US","    3",",,W",,,,,"   11",",,W"," -144",",,W","   63",",,W"," 2104",",,W"," 2109",",,W","  -67",",,W","    0",",,W","  300",",,W","  310",",,W","  143",",,W","  179",",,W",,,,,,,,,,,,
"USW00003887","2000-12-17","39.83079","-88.87192","205.1","DECATUR AIRPORT, IL US","    0","T,,W",,,,," -144",",,W"," -167",",,W","   70",",,W"," 0350",",,W"," 0349",",,W"," -156",",,W",,,"  280",",,W","  280",",,W","  139",",,W","  165",",,W",,,,,,,,,,,,
"USW00003887","2000-12-18","39.83079","-88.87192","205.1","DECATUR AIRPORT, IL US","    0","T,,W",,,,,"  -61",",,W"," -167",",,W","   57",",,W"," 1806",",,W"," 2030",",,W"," -111",",,W",,,"  280",",,W","  280",",,W","  112",",,W","  156",",,W",,,,,,,,,,,,
"USW00003887","2000-12-19","39.83079","-88.87192","205.1","DECATUR AIRPORT, IL US","    0","T,,W",,,,," -100",",,W"," -161",",,W","   66",",,W"," 0131",",,W"," 0032",",,W"," -128",",,W",,,"  300",",,W","  290",",,W","  103",",,W","  139",",,W",,,,,,,,,,,,
"USW00003887","2000-12-20","39.83079","-88.87192","205.1","DECATUR AIRPORT, IL US","    0","T,,W",,,,,"  -61",",,W"," -194",",,W","   52",",,W"," 1610",",,W"," 1610",",,W"," -128",",,W",,,"  150",",,W","  140",",,W","  103",",,W","  112",",,W",,,,,,,,,,,,
"USW00003887","2000-12-21","39.83079","-88.87192","205.1","DECATUR AIRPORT, IL US","    0","T,,W",,,,,"  -50",",,W"," -167",",,W","   71",",,W"," 0848",",,W"," 0900",",,W"," -106",",,W",,,"  290",",,W","  290",",,W","  112",",,W","  143",",,W",,,,,,,,,,,,
"USW00003887","2000-12-22","39.83079","-88.87192","205.1","DECATUR AIRPORT, IL US","    0",",,W",,,,," -139",",,W"," -194",",,W","   48",",,W"," 0932",",,W"," 0931",",,W"," -167",",,W",,,"  280",",,W","  280",",,W","   89",",,W","  103",",,W",,,,,,,,,,,,
"USW00003887","2000-12-23","39.83079","-88.87192","205.1","DECATUR AIRPORT, IL US","    0",",,W",,,,,"  -39",",,W"," -139",",,W","   55",",,W"," 1214",",,W"," 1020",",,W","  -89",",,W",,,"  190",",,W","  170",",,W","   98",",,W","  116",",,W",,,,,,,,,,,,
"USW00003887","2000-12-24","39.83079","-88.87192","205.1","DECATUR AIRPORT, IL US","    0","T,,W",,,,," -106",",,W"," -200",",,W","   53",",,W"," 1026",",,W"," 0154",",,W"," -150",",,W",,,"  300",",,W","  320",",,W","   80",",,W","  103",",,W",,,,,,,,,,,,
"USW00003887","2000-12-25","39.83079","-88.87192","205.1","DECATUR AIRPORT, IL US","    0",",,W",,,,," -106",",,W"," -211",",,W","   23",",,W"," 1420",",,W"," 1803",",,W"," -156",",,W",,,"   80",",,W","   50",",,W","   40",",,W","   40",",,W",,,,,,,,,,,,
"USW00003887","2000-12-26","39.83079","-88.87192","205.1","DECATUR AIRPORT, IL US","    0","T,,W",,,,,"  -61",",,W"," -161",",,W","   15",",,W"," 1025",",,W"," 1024",",,W"," -111",",,W",,,"  150",",,W","  150",",,W","   40",",,W","   45",",,W",,,,,,,,,,,,
"USW00003887","2000-12-27","39.83079","-88.87192","205.1","DECATUR AIRPORT, IL US","    0","T,,W",,,,,"  -67",",,W"," -156",",,W","   35",",,W"," 1404",",,W"," 1404",",,W"," -111",",,W",,,"  310",",,W","  310",",,W","   63",",,W","   72",",,W",,,,,,,,,,,,
"USW00003887","2000-12-28","39.83079","-88.87192","205.1","DECATUR AIRPORT, IL US","    0","T,,W",,,,,"  -72",",,W"," -189",",,W","   37",",,W"," 1745",",,W"," 1744",",,W"," -128",",,W",,,"   90",",,W","   90",",,W","   80",",,W","   89",",,W",,,,,,,,,,,,
"USW00003887","2000-12-29","39.83079","-88.87192","205.1","DECATUR AIRPORT, IL US","   23",",,W",,,,,"  -83",",,W"," -106",",,W","   35",",,W"," 2147",",,W"," 2130",",,W","  -94",",,W",,,"  300",",,W","  300",",,W","   76",",,W","   98",",,W",,,,,,,,,,,,
"USW00003887","2000-12-30","39.83079","-88.87192","205.1","DECATUR AIRPORT, IL US","    0","T,,W",,,,,"  -56",",,W"," -100",",,W","   65",",,W"," 1103",",,W"," 1120",",,W","  -78",",,W",,,"  300",",,W","  300",",,W","   98",",,W","  116",",,W",,,,,,,,,,,,
"USW00003887","2000-12-31","39.83079","-88.87192","205.1","DECATUR AIRPORT, IL US","    0","T,,W",,,,,"  -61",",,W"," -100",",,W","   34",",,W"," 0002",",,W"," 0215",",,W","  -78",",,W","    0",",,W","  300",",,W","  310",",,W","   72",",,W","   80",",,W",,,,,,,,,,,,
"USW00003887","2001-01-01","39.83079","-88.87192","205.1","DECATUR AIRPORT, IL US","    0","T,,W",,,,,"  -94",",,W"," -139",",,W","   39",",,W"," 2032",",,W"," 2027",",,W"," -117",",,W",,,"  310",",,W","  310",",,W","   67",",,W","   76",",,W",,,,,,,,,,,,
"USW00003887","2001-01-02","39.83079","-88.87192","205.1","DECATUR AIRPORT, IL US","    0","T,,W",,,,,"  -89",",,W"," -172",",,W","   35",",,W"," 2317",",,W"," 2316",",,W"," -128",",,W",,,"  220",",,W","  220",",,W","   63",",,W","   72",",,W",,,,,,,,,,,,
"USW00003887","2001-01-03","39.83079","-88.87192","205.1","DECATUR AIRPORT, IL US","    0",",,W",,,,,"  -33",",,W"," -144",",,W","   58",",,W"," 1458",",,W"," 1457",",,W","  -89",",,W",,,"  220",",,W","  230",",,W","   89",",,W","  103",",,W",,,,,,,,,,,,
"USW00003887","2001-01-04","39.83079","-88.87192","205.1","DECATUR AIRPORT, IL US","    0","T,,W",,,,,"   11",",,W","  -83",",,W","   50",",,W"," 2148",",,W"," 2234",",,W","  -33",",,W",,,"  210",",,W","  220",",,W","  116",",,W","  139",",,W",,,,,,,,,,,,
