"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","AWND","AWND_ATTRIBUTES","FMTM","FMTM_ATTRIBUTES","PGTM","PGTM_ATTRIBUTES","PSUN","PSUN_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TSUN","TSUN_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT02","WT02_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT08","WT08_ATTRIBUTES","WT09","WT09_ATTRIBUTES","WT10","WT10_ATTRIBUTES"
"USW00094870","1997-08-14","40.0324","-88.27547","226.5","CHAMPAIGN URBANA WILLARD AIRPORT, IL US",,,,,,,"  261",",,M","  139",",,M",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00094870","1997-08-15","40.0324","-88.27547","226.5","CHAMPAIGN URBANA WILLARD AIRPORT, IL US",,,,,,,"  294",",,M","  200",",,M",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00094870","1997-08-16","40.0324","-88.27547","226.5","CHAMPAIGN URBANA WILLARD AIRPORT, IL US",,,,,,,"  322",",,M","  189",",,M",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00094870","1997-08-17","40.0324","-88.27547","226.5","CHAMPAIGN URBANA WILLARD AIRPORT, IL US",,,,,,,"  250",",,M","  189",",,M",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00094870","1997-08-18","40.0324","-88.27547","226.5","CHAMPAIGN URBANA WILLARD AIRPORT, IL US",,,,,,,"  222",",,M","  156",",,M",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00094870","1997-08-19","40.0324","-88.27547","226.5","CHAMPAIGN URBANA WILLARD AIRPORT, IL US",,,,,,,"  183",",,M","  144",",,M",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00094870","1997-08-20","40.0324","-88.27547","226.5","CHAMPAIGN URBANA WILLARD AIRPORT, IL US",,,,,,,"  217",",,M","  150",",,M",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00094870","1997-08-21","40.0324","-88.27547","226.5","CHAMPAIGN URBANA WILLARD AIRPORT, IL US",,,,,,,"  222",",,M","  122",",,M",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00094870","1997-08-22","40.0324","-88.27547","226.5","CHAMPAIGN URBANA WILLARD AIRPORT, IL US",,,,,,,"  228",",,M","  100",",,M",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00094870","1997-08-23","40.0324","-88.27547","226.5","CHAMPAIGN URBANA WILLARD AIRPORT, IL US",,,,,,,"  239",",,M","   89",",,M",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
