"mmwr_week","week","week_start","week_end","season","pathogen","siteno","sitename","year","target_wkavg_concentration","conc_toplot","wkavg_val","wkavg_val_category","row_id"
"202522","22","05/25/2025","05/31/2025","2024-2025","SARS-CoV-2","9","North Branch PS","2025","245,737.5","11.39047143568","3.8","Moderate","202522-9-SARS-CoV-2"
"202437","37","09/08/2024","09/14/2024","2023-2024","SARS-CoV-2","9","North Branch PS","2024","265,350","11.42381909197","4.3","Moderate","202437-9-SARS-CoV-2"
"202345","45","11/05/2023","11/11/2023","2023-2024","Influenza A","9","North Branch PS","2023","3,975","9.59933713299","1.7","Minimal","202345-9-Influenza A"
"202527","27","06/29/2025","07/05/2025","2024-2025","RSV","9","North Branch PS","2025","0",,"0","Minimal","202527-9-RSV"
"202409","9","02/25/2024","03/02/2024","2023-2024","Influenza A","11","125th St PS","2024","14,100","10.14921911266","2.6","Minimal","202409-11-Influenza A"
"202416","16","04/14/2024","04/20/2024","2023-2024","Influenza B","10","Racine Ave PS","2024","18,262.5","10.26156022894","5.8","Low","202416-10-Influenza B"
"202448","48","11/24/2024","11/30/2024","2024-2025","Influenza B","10","Racine Ave PS","2024","0",,"0","Minimal","202448-10-Influenza B"
"202327","27","07/02/2023","07/08/2023","2022-2023","Influenza A","4","Austin/Montclare","2023","0",,"0","Minimal","202327-4-Influenza A"
"202237","37","09/11/2022","09/17/2022","2021-2022","SARS-CoV-2","5","Chicago Lawn/Ashburn","2022","1,190,250","12.07563819015","14.8","Very High","202237-5-SARS-CoV-2"
"202514","14","03/30/2025","04/05/2025","2024-2025","SARS-CoV-2","11","125th St PS","2025","29,887.5","10.47548958912","2.4","Low","202514-11-SARS-CoV-2"
"202516","16","04/13/2025","04/19/2025","2024-2025","Influenza A","999","All sites","2025","164,298.214285714","11.21563284323","0","Minimal","202516-999-Influenza A"
"202451","51","12/15/2024","12/21/2024","2024-2025","RSV","5","Chicago Lawn/Ashburn","2024","61,050","10.78568566828","12.6","Very High","202451-5-RSV"
"202452","52","12/22/2024","12/28/2024","2024-2025","Influenza B","6","West Pullman/Roseland","2024","0",,"0","Minimal","202452-6-Influenza B"
"202504","4","01/19/2025","01/25/2025","2024-2025","Influenza A","6","West Pullman/Roseland","2025","21,900","10.34044411484","6.4","Moderate","202504-6-Influenza A"
"202251","51","12/18/2022","12/24/2022","2022-2023","SARS-CoV-2","5","Chicago Lawn/Ashburn","2022","779,175","11.89163500966","11","Very High","202251-5-SARS-CoV-2"
"202517","17","04/20/2025","04/26/2025","2024-2025","Influenza B","11","125th St PS","2025","7,987.5","9.90241087117","5.2","Low","202517-11-Influenza B"
"202553","53","12/28/2025","01/03/2026","2025-2026","Influenza B","11","125th St PS","2025","0",,"0","Minimal","202553-11-Influenza B"
"202533","33","08/10/2025","08/16/2025","2024-2025","RSV","10","Racine Ave PS","2025","0",,"0","Minimal","202533-10-RSV"
"202527","27","06/29/2025","07/05/2025","2024-2025","Influenza A","10","Racine Ave PS","2025","12,750","10.10551018477","2.4","Minimal","202527-10-Influenza A"
"202435","35","08/25/2024","08/31/2024","2023-2024","Influenza A","6","West Pullman/Roseland","2024","2,062.5","9.31439395722","1","Minimal","202435-6-Influenza A"
"202536","36","08/31/2025","09/06/2025","2024-2025","RSV","9","North Branch PS","2025","0",,"0","Minimal","202536-9-RSV"
"202433","33","08/11/2024","08/17/2024","2023-2024","RSV","10","Racine Ave PS","2024","0",,"0","Minimal","202433-10-RSV"
"202219","19","05/08/2022","05/14/2022","2021-2022","Influenza B","4","Austin/Montclare","2022",,,"0","Minimal","202219-4-Influenza B"
"202447","47","11/17/2024","11/23/2024","2024-2025","Influenza A","999","All sites","2024","11,335.7142857143","10.05444889108","0","Minimal","202447-999-Influenza A"
"202426","26","06/23/2024","06/29/2024","2023-2024","RSV","6","West Pullman/Roseland","2024","0",,"0","Minimal","202426-6-RSV"
"202304","4","01/22/2023","01/28/2023","2022-2023","RSV","5","Chicago Lawn/Ashburn","2023",,,"0","Minimal","202304-5-RSV"
